id;name;color;description
1;instead sociable;orchid;../fake-data/blob/hipster.txt
2;citizen upwardly;fuchsia;../fake-data/blob/hipster.txt
3;fit blah jealously;black;../fake-data/blob/hipster.txt
4;huzzah vainly;white;../fake-data/blob/hipster.txt
5;fibre oof;pink;../fake-data/blob/hipster.txt
6;blissfully;silver;../fake-data/blob/hipster.txt
7;white colligate;fuchsia;../fake-data/blob/hipster.txt
8;oval bookend;azure;../fake-data/blob/hipster.txt
9;more;grey;../fake-data/blob/hipster.txt
10;navigate;green;../fake-data/blob/hipster.txt
